Word,Difficulty,Word_length,Word_type,Definition,Hint,Times_played,Win_counter
ABBREVIATE,HARD,10,Verb,reduce in scope while retaining essential elements,Shorten,0,0
ABBREVIATING,HARD,12,Verb,reduce in scope while retaining essential elements,Shortening,0,0
ABILITY,MEDIUM,7,Noun,the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment,Skill,0,0
ABOMINATION,HARD,11,Noun,a person who is loathsome or disgusting,Snowman,0,0
AGRICULTURE,HARD,11,Noun,a large-scale farming enterprise,Farming,0,0
ALCHEMY,MEDIUM,7,Noun,the way two individuals relate to each other,Changing Elements,0,0
ALLEVIATIVE,HARD,11,Adjective,moderating pain or sorrow by making it easier to bear,Soften,0,0
AMERICA,MEDIUM,7,Noun,North American republic containing 50 states - 48 conterminous states in North America plus Alaska in northwest North America and the Hawaiian Islands in the Pacific Ocean; achieved independence in 1776,Country,0,0
AMNESIA,MEDIUM,7,Noun,partial or total loss of memory,Memory Loss,0,0
ANAESTHETIC,HARD,11,Noun,a drug that causes temporary loss of bodily sensations,Numbing,0,0
ANALYTICAL,HARD,10,Adjective,"using or skilled in using analysis (i.e., separating a whole--intellectual or substantial--into its elemental parts or basic principles",Calculated,0,0
ANCHOVY,MEDIUM,7,Noun,tiny fishes usually canned or salted; used for hors d'oeuvres or as seasoning in sauces,Fish,0,0
ANGEL,EASY,5,Noun,spiritual being attendant upon God,Religous,0,0
AVENUE,EXPERT,6,Noun,a line of approach,Street,0,0
AXIS,EXPERT,4,Noun,a straight line through a body or figure that satisfies certain conditions,Mathematical term,0,0
BABOONS,MEDIUM,7,Noun,large terrestrial monkeys having doglike muzzles,Animal,0,0
BACKBOARDS,HARD,10,Noun,a raised vertical board with basket attached; used to play basketball,Target Zone,0,0
BAFFLED,MEDIUM,7,Noun,people who are frustrated and perplexed,Confused,0,0
BARON,EASY,5,Noun,a nobleman (in various countries,Power,0,0
BLACKBERRY,HARD,10,Noun,large sweet black or very dark purple edible aggregate fruit of any of various bushes of the genus Rubus,Fruit,0,0
BLANKET,MEDIUM,7,Noun,bedding that keeps a person warm in bed,Wrap up,0,0
BLASPHEMOUS,EXPERT,11,Adjective,grossly irreverent toward what is held to be sacred,Against Religion,0,0
BLEED,EASY,5,Verb,lose blood from one's body,Body,0,0
BLIZZARD,EXPERT,8,Noun,a storm with widespread snowfall accompanied by strong winds,Weather,0,0
BLOUSES,EXPERT,7,Noun,a top worn by women,Clothes,0,0
BLOWING,MEDIUM,7,Noun,processing that involves blowing a gas,Exhale,0,0
BOARD,EASY,5,Noun,a committee having supervisory powers,Plank,0,0
BOULDER,MEDIUM,7,Noun,a large smooth mass of rock detached from its place of origin,Rock,0,0
BRACES,EASY,6,Noun,a support that steadies or strengthens something else,Teeth,0,0
BUFFERS,MEDIUM,7,Noun,(chemistry,Space creator,0,0
BULGE,EASY,5,Noun,something that bulges out or is protuberant or projects from its surroundings,Lump,0,0
BURNING,MEDIUM,7,Noun,the act of burning something,Fire,0,0
BUZZING,EXPERT,7,Verb,make a buzzing sound,Sound,0,0
CABARET,MEDIUM,7,Noun,a spot that is open late at night and that provides entertainment (as singers or dancers,Show,0,0
CABIN,EASY,5,Noun,small room on a ship or boat where people sleep,Inside A ship,0,0
CABLE,EASY,5,Noun,a telegram sent abroad,Electricity path,0,0
CABLE,EASY,5,Noun,a telegram sent abroad,Electricity Flows,0,0
CALCULATING,HARD,11,Verb,make a mathematical calculation or computation,Computation,0,0
CELEBRATION,HARD,11,Noun,a joyful occasion for special festivities to mark some happy event,Rejoice,0,0
CHIMP,EASY,5,Noun,intelligent somewhat arboreal ape of equatorial African forests,Animal,0,0
CHORIZO,EXPERT,7,Noun,a spicy Spanish pork sausage,Food,0,0
CLEANLINESS,HARD,11,Noun,the habit of keeping free of superficial imperfections,Keeping Clean,0,0
CLOCK,EASY,5,Noun,a timepiece that shows the time of day,Tick tock,0,0
CLOUD,EASY,5,Noun,"any collection of particles (e.g., smoke or dust",Sky,0,0
